region,pruid,hruid,pop
AB,48,4831,313253
AB,48,4832,1778976
AB,48,4833,480071
AB,48,4834,1513391
AB,48,4835,457420
BC,59,591,842705
BC,59,592,2026967
BC,59,593,1265559
BC,59,594,882577
BC,59,595,301516
MB,46,4601,801292
MB,46,4602,174314
MB,46,4603,138707
MB,46,4604,75839
MB,46,4605,219071
NB,13,1301,242720
NB,13,1302,182018
NB,13,1303,191061
NB,13,1304,48614
NB,13,1305,25057
NB,13,1306,77311
NB,13,1307,45280
NL,10,1011,322759
NL,10,1012,90398
NL,10,1013,76682
NL,10,1014,36133
NS,12,1201,204781
NS,12,1202,152281
NS,12,1203,160818
NS,12,1204,501845
NT,61,6101,45605
NU,62,6201,40526
ON,35,3526,118656
ON,35,3527,160687
ON,35,3530,745580
ON,35,3533,182642
ON,35,3534,124225
ON,35,3535,196039
ON,35,3536,627194
ON,35,3537,597010
ON,35,3538,177354
ON,35,3539,150516
ON,35,3540,109049
ON,35,3541,213692
ON,35,3542,134331
ON,35,3543,184239
ON,35,3544,531933
ON,35,3546,496059
ON,35,3547,134461
ON,35,3549,82090
ON,35,3551,1071868
ON,35,3553,1599357
ON,35,3555,151061
ON,35,3556,85204
ON,35,3557,110579
ON,35,3558,221913
ON,35,3560,634233
ON,35,3561,208675
ON,35,3562,156225
ON,35,3563,34433
ON,35,3565,633828
ON,35,3566,321633
ON,35,3568,436061
ON,35,3570,1224524
ON,35,3575,228418
ON,35,3595,3025647
PE,11,1100,170688
QC,24,2401,200507
QC,24,2402,282330
QC,24,2403,771611
QC,24,2404,540196
QC,24,2405,514631
QC,24,2406,2038845
QC,24,2407,408979
QC,24,2408,148493
QC,24,2409,90405
QC,24,2410,13356
QC,24,2411,92403
QC,24,2412,444072
QC,24,2413,446476
QC,24,2414,544265
QC,24,2415,657375
QC,24,2416,1468155
QC,24,2417,14658
QC,24,2418,18902
SK,47,4711,29813
SK,47,4712,2649
SK,47,4713,24249
SK,47,4721,82386
SK,47,4722,88991
SK,47,4723,41560
SK,47,4731,36962
SK,47,4732,98368
SK,47,4741,338106
SK,47,4751,273351
SK,47,4761,38670
SK,47,4762,60459
SK,47,4763,89294
YT,60,6001,43789
